scheme,split,class,meaning,precision,recall,f1,support,tp,fp,fn
方案1,test,低泪河高度,可能存在泪液不足 / 干眼风险,0.8679245283018868,0.968421052631579,0.9154228855721392,190,184,28,6
方案1,test,正常泪河高度,泪河高度基本正常,0.7768595041322314,0.7175572519083969,0.746031746031746,131,94,27,37
方案1,test,较高泪河高度,泪河高度较高,0.9257142857142857,0.8663101604278075,0.8950276243093923,187,162,13,25
方案2,val,低泪河高度,可能存在泪液不足 / 干眼风险,0.8819444444444444,0.9477611940298507,0.9136690647482013,134,127,17,7
方案2,val,正常泪河高度,泪河高度基本正常,0.7662337662337663,0.7283950617283951,0.7468354430379747,81,59,18,22
方案2,val,较高泪河高度,泪河高度较高,0.9469026548672567,0.8991596638655462,0.9224137931034483,119,107,6,12
方案3,test,低泪河高度,可能存在泪液不足 / 干眼风险,0.8960396039603961,0.9526315789473684,0.923469387755102,190,181,21,9
方案3,test,正常泪河高度,泪河高度基本正常,0.792,0.7557251908396947,0.7734375000000001,131,99,26,32
方案3,test,较高泪河高度,泪河高度较高,0.9281767955801105,0.8983957219251337,0.9130434782608696,187,168,13,19
